CountryName,CoutryCode,BirthRate,InternetUsers,IncomeGroup
Aruba,ABV,10.244,78.9,High income
Afganistan,AFG,35.235,5.9,Low Income
Angola,AGO,45.985,19.1,Upper middle income
Albania,ALB,12.877,57.2,Upper middle income
United Arab Emirates,ARE,11.044,88,High income
